notificationTime,hostname,serviceStatusTimestamp,serviceState
2019-05-29T17:46:49.685Z,qliksenserim02,2019-05-29T17:48:11.368Z,NoCommunication
2019-05-29T17:47:04.640Z,qliksenserim02,2019-05-29T17:48:26.410Z,Running
